Id,SalePrice
1461,128925.86288932739
1462,157491.31141660488
1463,155404.0521539333
1464,180341.77412926895
1465,199773.95741445434
1466,194296.9471955353
1467,167035.66123044485
1468,171030.7487931185
1469,186322.6830446949
1470,117072.0623688736
1471,191963.79019122053
1472,98368.02904923496
1473,105767.0480887176
1474,158521.0898155314
1475,153284.59492980927
1476,393206.8489669476
1477,253853.37381716882
1478,324265.6770560726
1479,272675.3999026266
1480,409915.15164449584
1481,319364.9555608289
1482,217598.3521818995
1483,173948.43412229867
1484,168690.9193825205
1485,164303.06915379074
1486,206290.87597013998
1487,344811.6393703527
1488,268728.33181646717
1489,193467.8214811147
1490,177600.2700800388
1491,192358.08225862487
1492,103588.57243922965
1493,183477.83899667734
1494,302793.6675185082
1495,274925.8969688994
1496,210502.26898113202
1497,172376.4144492363
1498,158264.92156007237
1499,158264.92156007237
1500,156248.88393771532
1501,173499.5712847864
1502,158264.92156007237
1503,290908.10239867104
1504,240637.41889382486
1505,218286.77146478705
1506,179416.39947948212
1507,208497.38826431474
1508,218373.91362760626
1509,169448.9669835171
1510,138554.11193845715
1511,138554.11193845715
1512,142173.51125269942
1513,167189.59146416743
1514,153614.23744667374
1515,147221.89499727794
1516,173169.81134255746
1517,146580.1281643187
1518,136336.06577313834
1519,211032.57324249568
1520,138945.8068377424
1521,141218.8909111105
1522,156893.89986441942
1523,114157.6791637732
1524,124411.44427748912
1525,121070.92685644158
1526,121979.93692843092
1527,97817.0397745987
1528,122751.09742998227
1529,138554.11193845715
1530,161326.6770202346
1531,131199.48226767316
1532,107017.68076529948
1533,135778.9691928189
1534,119854.81270387271
1535,148512.53477466857
1536,116978.32213762906
1537,84097.21021893481
1538,205574.62976221796
1539,254274.24933752255
1540,119001.3287053436
1541,146086.14968370114
1542,139466.77009517996
1543,230488.42122614197
1544,83065.35002831017
1545,111861.65916328548
1546,119567.54474856977
1547,132749.96149719128
1548,129302.68634473137
1549,109808.72085063477
1550,132749.96149719128
1551,114212.34886767672
1552,122785.01883823634
1553,171149.8832647317
1554,119854.81270387271
1555,168283.67937197763
1556,106030.08925005828
1557,118916.08464039085
1558,101575.51059197515
1559,109507.03890882828
1560,123432.34812050321
1561,130635.38662418432
1562,128692.84890402162
1563,127066.26729792955
1564,142773.8260102466
1565,151088.4190421389
1566,219753.8377318696
1567,83942.33855290033
1568,208884.83516683662
1569,155250.34809300752
1570,132663.6699046389
1571,133728.837817924
1572,143219.20632381513
1573,222758.71119928686
1574,131881.49364833854
1575,198302.89346108754
1576,195876.68256364792
1577,189065.7071954004
1578,154347.79471544028
1579,130552.44449541946
1580,199837.14577856107
1581,131919.7200964591
1582,127066.26729792955
1583,317567.14034218795
1584,243364.2015291723
1585,138982.9665128904
1586,74716.79750033739
1587,122438.20245748122
1588,146293.87436099394
1589,110221.1557024639
1590,141034.97103794164
1591,115114.81792517868
1592,128378.21843662109
1593,114495.54202381716
1594,133314.23942610068
1595,132818.17950019537
1596,233684.32134677315
1597,163880.44072728176
1598,195179.16707804234
1599,189682.96875973025
1600,198327.67893713454
1601,66723.64395975016
1602,117964.18473749503
1603,95541.53608908392
1604,260256.85215376876
1605,233625.01233183738
1606,163102.68963444108
1607,206164.993833486
1608,194336.3687896033
1609,189065.7071954004
1610,146241.52470778665
